ID,X,Y
5053,206438.1406,-431757.75
5036,196006.4063,-440817.125
4989,171250.6875,-425098.25
5040,196169.8125,-433477.2813
5078,193656.9531,-441369.1875
5070,189982.1406,-439405.5625
4917,167781.3906,-435279.75
4906,183313.9531,-427069.8125
3983,161461.1875,-428865.2188
4944,171651.3125,-432700.4688
3952,165710,-430987.625
4012,157250.875,-437501
5020,208261.875,-435809.1875
5019,206950.0625,-438812.75
4975,180429.4063,-432165.4688
4959,190357.7656,-432728.4688
4035,162260.875,-439333.4063
4054,159499.5938,-438236.8438
3712,142973.2188,-418381.5625
3704,134110.7344,-418148.5313
3940,150660.9375,-424105.4688
3915,157733.4063,-425280.6875
4107,167204.4219,-439248.5
3895,143463.0156,-422327.8125
4189,175956.375,-437799.9063
4191,173760.8125,-437756.7813
4185,180211.0469,-438304.875
3868,125593.8594,-422156
3864,134689.0781,-421976.9375
4443,143686.4844,-443963.125
4470,145943.8281,-440705.9688
3784,147014.0781,-416060.5625
4322,152886.3125,-438518.2188
4323,150199.6875,-439209.4688
