ID,X,Y
4185,180211.0469,-438304.875
4189,175956.375,-437799.9063
4191,173760.8125,-437756.7813
4269,163191.5781,-455644.1875
4272,164336.7813,-450533.8438
4641,160401.8125,-469318.5313
4624,162676.1406,-460881.9688
4657,153619.5625,-463333.25
4722,172664.5781,-462086.5625
4758,169671.4688,-468861.0938
4501,153978.3438,-448399.5313
4470,145943.8281,-440705.9688
4532,155536.9688,-456298.3125
4538,147529.4219,-457494.125
4572,154084.9531,-446771.6875
3784,147014.0781,-416060.5625
3868,125593.8594,-422156.0
3864,134689.0781,-421976.9375
3712,142973.2188,-418381.5625
3704,134110.7344,-418148.5313
4035,162260.875,-439333.4063
4054,159499.5938,-438236.8438
4121,164140.0156,-447113.5
4107,167204.4219,-439248.5
4143,171355.9688,-449684.3438
3895,143463.0156,-422327.8125
3940,150660.9375,-424105.4688
3915,157733.4063,-425280.6875
3952,165710.0,-430987.625
4012,157250.875,-437501.0
3983,161461.1875,-428865.2188
6835,206798.4587,-475943.0051
5945,197047.1875,-477199.9375
5976,196549.6563,-487848.7813
5984,196014.5156,-473829.125
6014,211796.7656,-495017.9688
6038,213330.9844,-489309.1563
6021,214762.4531,-481714.1875
4944,171651.3125,-432700.4688
4975,180429.4063,-432165.4688
4959,190357.7656,-432728.4688
5020,208261.875,-435809.1875
5019,206950.0625,-438812.75
4989,171250.6875,-425098.25
5040,196169.8125,-433477.2813
5053,206438.1406,-431757.75
5036,196006.4063,-440817.125
4818,176101.1094,-447034.8125
4823,181098.1563,-450288.125
4917,167781.3906,-435279.75
4906,183313.9531,-427069.8125
5807,187553.1875,-462382.5
5841,193112.4844,-473047.0938
5850,189362.6094,-481323.9063
5889,184968.3438,-463665.625
5859,182671.6662,-473368.0175
5907,200260.8281,-483578.875
5920,202801.6719,-478264.4688
5914,193318.4063,-482603.2188
5892,190410.0781,-466830.3125
5078,193656.9531,-441369.1875
5070,189982.1406,-439405.5625
5721,193343.4219,-462195.625
5740,199077.8125,-466675.875
5790,200453.1719,-458138.4688
5784,193991.25,-456078.5
5772,203077.375,-466234.1875
4322,152886.3125,-438518.2188
4323,150199.6875,-439209.4688
4443,143686.4844,-443963.125
