ID,X,Y
4191,173760.8125,-437756.7813
4269,163191.5781,-455644.1875
4272,164336.7813,-450533.8438
4641,160401.8125,-469318.5313
4624,162676.1406,-460881.9688
4657,153619.5625,-463333.25
4501,153978.3438,-448399.5313
4470,145943.8281,-440705.9688
4532,155536.9688,-456298.3125
4538,147529.4219,-457494.125
4572,154084.9531,-446771.6875
3784,147014.0781,-416060.5625
3868,125593.8594,-422156.0
3864,134689.0781,-421976.9375
3712,142973.2188,-418381.5625
3704,134110.7344,-418148.5313
4035,162260.875,-439333.4063
4054,159499.5938,-438236.8438
4121,164140.0156,-447113.5
4107,167204.4219,-439248.5
4143,171355.9688,-449684.3438
3895,143463.0156,-422327.8125
3940,150660.9375,-424105.4688
3915,157733.4063,-425280.6875
3952,165710.0,-430987.625
4012,157250.875,-437501.0
3983,161461.1875,-428865.2188
4917,167781.3906,-435279.75
4322,152886.3125,-438518.2188
4323,150199.6875,-439209.4688
4443,143686.4844,-443963.125
