ID,X,Y
4181,182244.6719,-438077.9688
4161,173528.0781,-443708.625
4191,173760.8125,-437756.7813
4254,160514.2344,-450361.6563
4447,154514.6875,-443441.1563
4036,162073.9688,-439911.8438
4057,158732.0,-438635.6875
4119,164035.8438,-445660.875
4105,166519.4688,-439147.3438
3979,160295.7344,-428941.5
3952,165710.0,-430987.625
3947,165889.4375,-435761.8125
4001,157897.9375,-434049.625
4943,173271.2031,-433559.6563
4975,180429.4063,-432165.4688
4991,172040.9219,-426285.0
5046,192086.0,-432115.9063
5068,189633.7344,-440561.0
4313,150374.75,-437954.7813
