ID,X,Y
4423,150503.75,-446031.5625
4422,147362.0781,-446252.1563
4425,141493.0781,-446353.7813
4424,140506.9375,-444907.4375
4178,179140.7188,-440582.5313
4177,178081.125,-442779.1563
4180,181187.1875,-438951.3438
4179,178900.9688,-438484.6875
4174,172182.6875,-441244.9375
4173,174299.7031,-441470.4688
4176,175740.8281,-442246.4375
4175,173755.1875,-442552.9375
4186,179132.1563,-436789.2813
4185,180211.0469,-438304.875
4188,175876.4531,-437010.7813
4187,177486.8125,-437285.6563
4182,182612.875,-438822.9063
4181,182244.6719,-438077.9688
4184,181512.5781,-437517.0938
4183,181272.8125,-436695.0938
4162,174635.3438,-444127.9063
4161,173528.0781,-443708.625
4164,168919.0313,-446612.2188
4163,167302.0156,-448584.2188
4158,170135.8438,-441865.875
4157,171030.4844,-441411.4375
4160,172450.0469,-442849.0625
4159,171594.8906,-442772.4688
4170,173366.6719,-439102.4375
4169,176322.8281,-439207.1563
4172,169986.3594,-440164
4171,171889.4531,-440069.1563
4166,168784.7031,-438082.6563
4165,170078.3438,-438203.4063
4168,172239.4063,-438396.2188
4167,170891.9063,-439016.9688
4210,162659.8125,-453007.75
4209,162560.0625,-448722.375
4212,161060.6406,-456402.1875
4211,162099.7031,-454399.125
4206,162426.9531,-446442.1875
4205,161865.5938,-450151.875
4208,162693.1719,-447738.5313
4207,161431.5313,-446517.4063
4218,158132.4531,-440585.2188
4217,156906.375,-440682.875
4220,155696.4844,-442671.2188
4219,157983.1875,-441419.2188
4214,161579.5938,-447875.6875
4213,162261.4688,-456615.5313
4216,155745.7656,-441337.6563
4215,161385.2344,-448838.125
4194,183627.5469,-436695.0938
4193,182570.0625,-436339.75
4196,184338.2344,-440032.375
4195,185434.25,-436063.5938
4190,173939.4219,-436940.75
4189,175956.375,-437799.9063
4192,171386.375,-436975.875
4191,173760.8125,-437756.7813
4202,161425.75,-444972.1875
4201,161553.0625,-443617.9375
4204,162097.0781,-451621.8438
4203,162230.1875,-444943.25
4198,185472.7813,-437925.9688
4197,186560.2344,-437266.6563
4200,161628.3125,-442605.1563
4199,171465.9851,-446008.5527
4242,160737.0469,-442065.5
4241,161489.4063,-441789.1563
4244,160175.2031,-443203.7188
4243,160491.0938,-442615.2813
4238,159417.5313,-446562.25
4237,158457.0938,-446966.1875
4240,159481.2031,-442045.2188
4239,159802.3906,-441350.75
4250,158472.625,-447778.0313
4249,158963.2344,-444629.2813
4252,159443.5781,-448590.7188
4251,160091.7656,-447734.1875
4246,160572.1094,-444148.9375
4245,159837.125,-444284.9375
4248,159212.0781,-445445.3125
4247,159437.7969,-443697.5313
4226,156697.4531,-443000.1875
4225,158937.1875,-442858.3438
4228,156615.875,-443769.3125
4227,157975.4219,-443042.9063
4222,156895.5625,-442165.0313
4221,156705.2188,-441353.1875
4224,158783.3906,-441380.375
4223,158231.7969,-442262.1563
4234,158185.1875,-445762.0313
4233,157214.0781,-445692.0938
4236,157245.1563,-446997.25
4235,160262.4844,-446116.625
4230,157823.9375,-444666.5938
4229,158426.0156,-443765.4063
4232,156099.25,-445975.6563
4231,156184.7031,-444620
4274,165152.7969,-449793.0625
4273,164140.0156,-449144.875
4276,166541.7656,-450331.2813
4275,166323.9531,-451244.7813
4270,162999.9063,-450122.9375
4269,163191.5781,-455644.1875
4272,164336.7813,-450533.8438
4271,163127.2344,-451656.5625
4282,163028.8438,-444821.7188
4281,164475.6875,-451951.7188
4284,160369.5625,-449493.5625
4283,163410.8125,-446488.4688
4278,165390.0781,-451587.125
4277,168005.625,-450789.1875
4280,169276.2813,-451640.125
4279,166657.5156,-449468.9688
4258,160378.0625,-454580.0313
4257,160155.4219,-453408.25
4260,159165.2656,-454621.0625
4259,159353.875,-451689.8438
4254,160514.2344,-450361.6563
4253,160488.2031,-448561.7813
4256,160108.5469,-452626.0625
4255,160673.3906,-451684.0625
4266,164301.5781,-456530.9688
4265,163295.8281,-456964.625
4268,163987.1875,-454284.1563
4267,163265.9375,-454360.7813
4262,164307.3906,-453315.5
4261,159420.125,-456399.25
4264,164964.1094,-455653.3438
4263,165179.7188,-454736.2813
4643,157868.9219,-472465.4688
4642,158884.9375,-472937.625
4645,152938.2344,-469477.1875
4644,156866.2813,-473225.9688
4639,159957.4063,-467598.4688
4638,158003.4688,-464943.8125
4641,160401.8125,-469318.5313
4640,159750.1719,-468498.7813
4651,157809.1563,-476015.5625
4650,156309.0313,-475059.3125
4653,150368.2969,-469399.4688
4652,148007.5469,-467941.1875
